"id","nome","cnpj","label","Resumo","Tipo","Local","Responsável","Atividade Principal","Natureza Jurídica","Capital Social","Abertura","Sócios","Atividades secundárias"
1,"Consorcio Intersul De Transportes","12464869000176","Intersul",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Claudio Callak Coelho","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
2,"Consorcio Internorte De Transportes","12464539000180","Internorte",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Humberto Fernandes Valente","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
3,"Consorcio Santa Cruz Transportes","12464577000133","SantaCruz",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Orlando Pedroso Lopes Marques","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
4,"Consorcio Transcarioca De Tranportes ","12464553000184","Transcarioca",,"Consórcio","R Da Assembleia 10 - Centro - 20.011-901
Rio De Janeiro - Rj","Avelino Antunes","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Consórcio de Sociedades",,31/08/10,,
5,"Auto Viacao Alpha S A ","33500984000129","Alpha","A empresa foi fundada em 1961, a pedido do então governador do estado da Guanabara Carlos Lacerda. Sediada no Engenho Novo, a Alpha opera na Tijuca, Muda e Usina, na zona norte da cidade.","Operadora","R Dona Romana 130 - Engenho Novo - 20.710-200
Rio De Janeiro - Rj","Jacob Barata Filho","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,29/09/66,,
6,"Auto Viacao Bangu Ltda","33461286000161","Bangu","Fundada em 1962, pertencia ao Consórcio Santa Cruz e operava 23 linhas na zona oeste. Em março de 2016, foi vendida para o Grupo Redentor, liderado pela Viação Redentor, que integra o Consórcio Transcarioca. Porém, em maio do mesmo ano a empresa encerrou as atividades. Na época, os funcionários, que estavam em greve em decorrência dos salários atrasados, declararam que os ônibus não tinham condições de circular.","Ex-operadora","Est Gal Canrobert Da Costa 536 - Magalhaes Bastos - 21.710-400
Rio De Janeiro - Rj","Manuel Ferreira Goncalves","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","33200000.00",23/09/66,,
7,"Auto Viacao Jabour Ltda","33554114000132","Jabour","Fundada em 1962, a empresa atua principalmente na ligação da zona oeste à Barra da Tijuca e ao centro do Rio de Janeiro, em especial no bairro de Campo Grande. Após uma intervenção judicial determinada em 2009, a Jabour assumiu linhas da Viação Oeste Ocidental.","Operadora","Av Santa Cruz 12375 - Senador Vasconcelos - 23.012-135
Rio De Janeiro - Rj","Antonio Augusto Alves Freitas","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","12000000.00",05/09/66,,
8,"Auto Viacao Palmares Ltda.","21233901000101","Palmares",,"Operadora","Av Cesario De Melo 8121 - Cosmos - 23.058-001
Rio De Janeiro - Rj","Orlando Pedroso Lopes Marques","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","1000000.00",13/10/14,,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional; Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente"
9,"Auto Viacao Tijuca S/a ","33535592000529","Tijuquinha","A Auto Viação Tijuca, mais conhecida como Tijuquinha, foi fundada na década de 1960. Em 1978, Jacob Barata tornou-se acionista da companhia.","Operadora","Est Dos Bandeirantes 4888 - Taquara - 22.710-571
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,17/05/99,,
10,"Auto Viacao Tres Amigos S A","33479213000105","Tres Amigos","Com sede em Bento Ribeiro, foi fundada em 1966. Atua em grande parte da zona norte. A viação pertence ao mesmo grupo da Caprichosa Auto Ônibus, porém desde 2008 são de diretorias diferentes.","Operadora","R Picui 505 - Bento Ribeiro - 21.550-370
Rio De Janeiro - Rj","Jose De Castro Barbosa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada","16745000.00",28/09/66,,
11,"Caprichosa Auto Onibus Ltda","33191990000141","Caprichosa","Sediada em Parada de Lucas, a viação foi fundada em 1966. Atua em grande parte da zona norte. A viação pertence ao mesmo grupo da Viação Três Amigos, porém desde 2008 são de diretorias diferentes.","Operadora","R Bulhoes Marcial 361 - Parada De Lucas - 21.250-371
Rio De Janeiro - Rj","Suburbana Participacoes Ltda","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada",,13/08/66,,
12,"Empresa De Transportes Braso Lisboa Ltda ","33273079000183","Braso Lisboa","Fundada há 70 anos, em 1947, a viação teve vários donos ao longo desse período. Desde 1987, é administrada pelo mesmo grupo. A companhia opera em 17 itinerários no Rio de Janeiro, a maioria deles na zona sul da cidade, e faz dois trajetos intermunicipais, ligando o Rio a Niterói.","Operadora","Av Martin Luther King Jr. 3700 - Engenho Da Rainha - 20.766-730
Rio De Janeiro - Rj","Generoso Ferreira Das Neves","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada",,17/04/73,,
13,"Empresa Viacao Ideal Sa","33197161000176","Ideal","Fundada em 1933, pertence ao Grupo Guanabara, da família Barata. Inicialmente, a viação era administrada pelos sócios Luciano Stor e Carlos Vasconcelos. Em 1993 passou a ser administrada por Humberto e Renato Stor, filhos de Luciano. Em 1998 foi vendida para o grupo de Jacob Barata.","Operadora","Av Cel Luiz De O Sampaio 180 - Ilha Do Governador - 21.931-010
Rio De Janeiro - Rj","Renato Stor","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,25/05/62,,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional; Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual; Serviço de transporte de passageiros - locação de automóveis com motorista; Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional; Organização de excursões em veículos rodoviários próprios, municipal; Serviços de manutenção e reparação mecânica de veículos automotores; Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente; Outras sociedades de participação, exceto holdings"
14,"Expresso Recreio Transporte De Passageiros Ltda","07568880000146","Expresso Recreio",,"Operadora","Est Roberto Burle Marx 861 - Barra De Guaratiba - 23.020-255
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",16/08/05,,"Serviço de transporte de passageiros - locação de automóveis com motorista; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional; Serviços de manutenção e reparação mecânica de veículos automotores"
15,"Expresso Pegaso Ltda","33150608000151","Pégaso","Primeira viação a ligar o bairro de Santa Cruz ao centro do Rio, foi fundada em 1966, apenas com ônibus rodoviários. Em 1995, houve uma cisão da empresa e foi criada a Transportes Zona Oeste, que passou a operar as linhas que atendiam a avenida Brasil. Enfrentou um novo processo de cisão em 2014, que resultou na criação da Expresso Recreio, focada no transporte executivo, os famosos ""frescões"". Em 2015, como parte de um programa de reestruturação da Expresso Pégaso, fundou a empresa Auto Viação Palmares.","Operadora","Av Itaoca 187 - Bonsucesso - 21.061-021
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",31/05/71,,
16,"Gire Transportes Ltda","11996993000209","Gire","Criada em 1999 como Erig Transporte, mudou de nome em novembro de 2010 para Gire Transportes. A empresa pertence ao grupo Transporte Fabio's, de Duque de Caxias, e utiliza duas garagens: uma em Vigário Geral, no Rio de Janeiro, e a outra no município da Baixada Fluminense.","Operadora","R Mauricio De Abreu 99 - Vila Oito De Maio - 25.086-296
Duque De Caxias - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada",,12/11/10,,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional"
17,"Litoral Rio Transportes Ltda","00108876000156","Litoral Rio","A concessionária opera com foco na zona oeste do Rio. Foi criada em 1994, resultado de uma cisão da Viação Redentor, que ainda gerou outras duas empresas: Barra e Transportes Futuro. Em 2003, deixou de ser administrada pelo Grupo Redentor e passou a ter gestão própria.","Operadora","Est Do Engenho Dagua 755 - Gardenia Azul - 22.765-240
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",06/07/94,,
18,"Premium Auto Onibus Ltda       ","13564886000148","Premium",,"Operadora","R Arlindo Janot 30 - Bonsucesso - 21.041-160
Rio De Janeiro - Rj","Claudio Callak Coelho","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","1500000.00",28/04/11,,
19,"Real Auto Onibus Ltda ","33295346000113","Real Auto","A viação foi fundada em 1953 e, nos anos 1970, começou a se especializar em ônibus “frescões”, com ar condicionado, assentos mais confortáveis e passagens mais caras. Em dezembro de 1985, a Real e outras dez empresas de ônibus do Rio foram encampadas pelo então governador Leonel Brizola, acusadas de não operar com a frota completa no dia das eleições. Vitorioso, o opositor Moreira Franco devolveu a empresa aos sócios e passou a conceder a operação de linhas em compensação.","Operadora","Av Do Canal 2 Md Vila Do Joao 129 - Mare - 21.046-510
Rio De Janeiro - Rj","Albino De Sequeira","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","15000000.00",05/09/66,,
20,"Rio Rotas Transportes E Turismo Ltda","11955635000169","Rio Rotas","Criada em 2010, funcionava na antiga garagem da Santa Sofia e era administrada pela Andorinha Rio, pertencente ao grupo Breda Rio Transportes. Encerrou as atividades em 2015 em decorrência de problemas financeiros.","Ex-operadora","Est Rio-sao Paulo 225 - Campo Grande - 23.087-005
Rio De Janeiro - Rj","Alvaro Rodrigues Lopes","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","1200000.00",17/05/10,,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal; Serviços de manutenção e reparação mecânica de veículos automotores; Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente; Organização de excursões em veículos rodoviários próprios, municipal"
21,"Rodoviaria A Matias Ltda","33263906000158","Rodoviaria A Matias","Com sede no Engenho de Dentro, zona norte do Rio, a Âncora Matias foi fundada em setembro de 1955 pelos sócios David Sidônio Matias de Souza Neves e José Alves das Neves. Posteriormente entraram na sociedade Leonel Neves Barbosa e João Augusto Morais Monteiro. Foi uma das primeiras viações a operar, em 1975, com ônibus equipados com ar-condicionado, os famosos ""frescões"".","Operadora","R Dr Bulhoes 766 - Engenho De Dentro - 20.730-420
Rio De Janeiro - Rj","Leonel Neves Barbosa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","7030000.00",20/09/67,,
22,"Tel Transportes Estrela Sociedade Anonima","33535568000166","Estrela","Fundada em 1950 como empresa de ""lotações"", passou a operar como viação de ônibus convencionais em 1963, após o então governador Carlos Lacerda decretar o fim das lotações. Sua sede fica em Marechal Hermes, zona norte do Rio.","Operadora","R Saravata 210 - Marechal Hermes - 21.550-380
Rio De Janeiro - Rj","Jacob Barata Filho","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,04/10/66,,
23,"Translitoranea Turistica Ltda","12082984000186","Translitoranea",,"Ex-operadora","R Da Soja 106 - Penha Circular - 21.011-100
Rio De Janeiro - Rj","Alvaro Rodrigues Lopes","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","1200000.00",15/06/10,,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal; Serviços de manutenção e reparação mecânica de veículos automotores; Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente; Organização de excursões em veículos rodoviários próprios, municipal"
24,"Translitoral Transporte Ltda.","21522635000129","Translitoral",,"Operadora","Est Do Engenho D'agua 755 - Anil, Jacarepagua - 22.765-240
Rio De Janeiro - Sp",,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional","Sociedade Empresária Limitada","100000.00",14/10/08,,
25,"Transporte Estrela Azul Sa ","33659756000104","Estrela Azul","Fundada em 1958, a viação possui uma sede em Vila Isabel e uma segunda garagem em Sampaio. Os ônibus da Estrela Azul circulam na Grande Tijuca, ligando os bairros da região com a zona sul e fazendo a conexão dos demais bairros da zona norte com o centro.","Operadora","R Luis Barbosa 55 - Vila Isabel - 20.511-010
Rio De Janeiro - Rj","Alfredo Cesar Martins","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,10/07/73,,
26,"Transportes America Ltda","28205128000100","America","Com foco no bairro da Pavuna, onde fica sua sede, a viação foi criada em 1960. Em 1981 foi comprada pela Viação Rubanil.","Operadora","Av Coronel Phidias Tavora 400 - Pavuna - 21.535-510
Rio De Janeiro - Rj","Manuel Joao Pereira","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","4966665.00",23/01/84,,
27,"Transportes Barra Ltda","40177446000100","Barra","Fundada em 1991, a empresa resultou de processo de cisão da Viação Redentor, que gerou mais duas empresas: Transportes Futuro e Litoral Rio Transportes. Atualmente está sediada em Vila Valqueire, zona oeste do Rio.","Operadora","R Analia Franco 150 - Jacarepagua - 21.330-120
Rio De Janeiro - Rj","Getulio Antunes","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada",,07/02/91,,
28,"Transportes Campo Grande Ltda","33646969000193","Campo Grande","Criada em 1962, a Viação Campo Grande atua ligando os bairros de Bangu, Padre Miguel e Realengo ao centro do Rio. Nos anos 1980, a empresa cresceu ao incorporar a Viação Santa Sofia, passando a se chamar Transportes Campo Grande. Em maio de 2010, foi apontada como a segunda empresa com o maior número de violações aos direitos do consumidor.","Operadora","Av Itaoca 187 - Bonsucesso - 21.061-021
Rio De Janeiro - Rj","Bernardo Ferreira Moreira","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","3953000.00",10/10/66,,"Outros transportes rodoviários de passageiros não especificados anteriormente"
29,"Transportes Futuro Ltda","01829874000119","Futuro","A Transportes Futuro foi fundada em 1997, resultado de uma divisão da Viação Redentor. Outras duas empresas foram criadas nessa ocasião: Barra e Litoral Rio. Atualmente, ela divide as instalações com a Redentor.","Operadora","Est Do Gabinal 1381 - Jacarepagua - 22.763-153
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",24/04/97,,
30,"Transportes Paranapuan S A","33197187000114","Paranapuan","Criada em 1950, foi a primeira empresa de ""lotações"" a operar na Ilha do Governador, zona norte do Rio, onde continua atuando. Em julho de 2015, 19 veículos da empresa foram interditados pelo Procon-RJ após a constatação de irregularidades. A Paranapuan tem hoje R$ 29 milhões em dívidas com a União.","Operadora","Est Galeao 178 - Ilha Do Governador - 21.931-242
Rio De Janeiro - Rj","Doralice Medeiros Da Costa","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada","11870183.00",13/08/66,,
31,"Transportes Santa Maria Ltda","33408055000194","Sta Maria",,"Operadora",,"Armindo Lopes Valente","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada",,14/01/72,,
32,"Transportes Sao Silvestre Sa ","33609496000154","Sao Silvestre","Fundada em 1966, a viação opera linhas de ônibus entre o centro e a zona sul da capital do Rio de Janeiro.","Operadora","R Rego Barros 103 - Santo Cristo - 20.220-750
Rio De Janeiro - Rj","Gentil De Menezes Pereira","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada","12135000.00",16/11/66,,
33,"Transportes Vila Isabel S A ","33333675000101","Vila Isabel","Fundada em 1962, originalmente a empresa chamava-se Bandeirantes Auto Ônibus. Suas linhas ligam a zona norte à zona sul do Rio de Janeiro.","Operadora","R Viana Drumond 45 - Vila Isabel - 20.560-070
Rio De Janeiro - Rj","Afonso Bernardo Fernandes","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada","4911016.51",10/08/72,,
34,"Transurb S/a","01464420000191","Transurb","A empresa foi fundada em 1997 a partir de uma divisão da Viação Verdun. Em 1999, passou a ter administração independente. A Transurb é a única companhia a operar no bairro de Santa Teresa, no centro do Rio.","Operadora","R Jose Dos Reis 1136 - Engenho De Dentro - 20.770-061
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada"," ",25/09/96,,
35,"Viacao Acari S A","33197120000180","Acari","Apesar do nome, a empresa está sediada em Cascadura, próxima a Engenheiro Leal, na zona norte do Rio. Foi fundada em 1962.","Operadora","R Miguel Rangel 493 - Cascadura - 21.350-200
Rio De Janeiro - Rj","Valmir Fernandes Do Amaral","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,07/05/73,,
36,"Viacao Andorinha Ltda","00189296000130","Andorinha","Fundada em 1960, atuava numa região chamada Caminho da Serra do Barata, aos pés do maciço da Pedra Branca, zona oeste do Rio. Em 1982, associou-se como sócia minoritária à Auto Viação Bangu. A Viação Andorinha, no entanto, voltou a operar em 1995, após uma cisão da Bangu. Fazia a ligação entre os bairros da zona oeste e o centro da cidade, e do subúrbio da zona norte à oeste. Encerrou as atividades em março de 2015 após enfrentar problemas financeiros.","Ex-operadora","R Boiobi 1992 - Bangu - 21.825-070
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",02/09/94,,
37,"Viacao Madureira Candelaria Ltda","33419383000196","Viação Madureira Candelária","O nome da viação vem do trajeto inicial de sua primeira linha, a antiga 355. Foi fundada em 1952 e atualmente pertence aos mesmos donos da Viação Rubanil, atuando na ligação entre o centro do Rio e o subúrbio da zona norte. A Madureira Candelária possui R$ 11 milhões em dívidas com a União.","Operadora","R Citeria 198 - Iraja - 21.231-020
Rio De Janeiro - Rj","Americo Do Espirito Santo Camilo","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","6000000.00",16/06/69,,
38,"Viacao Normandy Do Triangulo Ltda","33633926000173","Normandy","A empresa integra o grupo Rotas do Triângulo, de turismo rodoviário. Ela faz viagens no estado do Rio de Janeiro, nas cidades de Paracambi, Rio, Barra do Piraí e Paty do Alferes. Na capital, a Normandy opera linhas de ônibus comuns e também de BRT, desde 2016.","Operadora","Est Dos Bandeirantes 5900 - Curicica - 22.780-083
Rio De Janeiro - Rj","Jacob Barata","Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual","Sociedade Empresária Limitada","16418000.00",25/01/67,,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal; Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional; Organização de excursões em veículos rodoviários próprios, municipal; Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional"
39,"Viacao Nossa Senhora Das Gracas S/a ","01462285000145","Nsa das Graças","Mais conhecida como Graças, a empresa, sediada no Andaraí, na zona norte do Rio, é descendente da antiga Viação Saens Peña. Ela opera no centro e nas zonas norte e sul do Rio. Desde 2011, opera o transporte municipal de São José dos Campos, em São Paulo.","Operadora","R Leopoldo 708 - Andarai - 20.541-170
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada"," ",25/09/96,,
40,"Viacao Nossa Senhora De Lourdes S A","33474065000128","Nsa Sra de Lourdes","Fundada em 1962, a empresa foi adquirida em 1973 pelo grupo que compõe a diretoria atual. A sede da viação está na Penha Circular, e os ônibus atuam ligando os bairros do centro e da região da Tijuca com o subúrbio da zona norte, fazendo trajetos alternativos que fogem dos trechos de grandes engarrafamentos.","Operadora","R Salviano Valente 85 - Penha Circular - 21.211-000
Rio De Janeiro - Rj","Humberto Fernandes Valente","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,10/08/67,,
41,"Viacao Novacap S/a","33225335000167","Novacap","O nome da viação é uma contração das palavras Nova Capital, em homenagem a Brasília, inaugurada em 1960. A Novacap foi fundada em 1961 e em 1981 foi adquirida pelo atual grupo de sócios. Possui uma das frotas mais novas do município do Rio de Janeiro e faz a ligação entre os bairros do subúrbio da zona norte.","Operadora","Etr Intendente Magalhaes 1154 - Bento Ribeiro - 21.331-720
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada"," ",14/07/70,,
42,"Viacao Pavunense Sa","33521931000194","Pavunense","Fundada em 1962 e sediada em Anchieta, zona norte do Rio. A empresa atua principalmente na Pavuna, efetuando a ligação da região com o centro, com outros bairros da zona norte e entre os sub-bairros da região da Pavuna.","Operadora","Av Chrisostomo Pimentel De Oliveira 699 - Anchieta - 21.645-521
Rio De Janeiro - Rj","Mario Pereira Do Outeiro","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada","10850060.00",28/09/66,,
43,"Viacao Penha Rio Ltda","02592047000117","Penha","A Viação Penha Rio foi fundada após a cisão na Transportes Campo Grande em 1999. Com sede em Bonsucesso, zona norte do Rio, atua na ligação entre os bairros da grande Tijuca e o subúrbio da zona norte.","Operadora","Av Itaoca 149 - Bonsucesso - 21.061-020
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",20/05/98,,
44,"Viacao Redentor Ltda","33103862000280","Redentor","A viação foi fundada em 1950 e desde 1964 opera em Jacarepaguá, na zona oeste do Rio de Janeiro. Em meados dos anos 1980, a empresa foi encampada pelo então governador Leonel Brizola. Um ano depois, o novo governador Moreira Franco devolveu-a aos sócios. Em 1991, passou por um processo de divisão, que deu origem ao Grupo Redentor, formado por três empresas: Barra, Transportes Futuro e Litoral Rio.","Operadora",,,,," ",,,
45,"Viacao Rubanil Ltda","33419623000152","Rubanil","Fundada em 1962 pelos sócios Macário Duarte Soares Paiva e José Ferreira, ganhou um novo sócio, Manuel dos Santos Pereira, em 1970. Pertence ao grupo Rubanil, que também é dono da Viação Madureira Candelária.","Operadora","Av Coronel Phidias Tavora 400 - Pavuna - 21.535-510
Rio De Janeiro - Rj","Manuel Joao Pereira","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","10000000.00",18/06/71,,
46,"Viacao Verdun S/a","33556309000111","Verdun","Fundada em 1962, sua primeira linha de ônibus passava pelo largo do Verdun (Grajaú), na zona norte do Rio.","Operadora","R Torres De Oliveira 335 - Piedade - 20.740-380
Rio De Janeiro - Rj","Rosane Ferreira Barata","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Anônima Fechada",,24/06/71,,
47,"Viacao Vg Eireli","03235185000101","VG (ex-City Rio)","Foi criada em 1999 como City Rio, uma empresa de turismo que tinha três linhas turísticas circulares no Rio de Janeiro. Foi comprada pelo Grupo Breda Rio e logo depois, descontinuada. A empresa ressurgiu em 2010 com a fusão das atualmente extintas Auto Diesel, Breda Rio e Via Rio, uma vez que nenhuma das três poderia participar da licitação das linhas de ônibus realizada pela prefeitura do Rio de Janeiro. Passou a integrar o consórcio Internorte e, em 2014, mudou o nome para Viação VG. É responsável por oito linhas de ônibus, que circulam ligando às zonas norte e sul do Rio. Em abril de 2017, os funcionários fizeram uma paralisação em decorrência do atraso no pagamento dos salários.","Operadora","R Valentim Magalhaes 10 - Vigario Geral - 21.241-330
Rio De Janeiro - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)"," ",18/06/99,,
48,"Viacao Vila Real S/a","97417117000107","Vila Real","Fundada em 1994, a partir das ex-linhas da Auto Diesel. Sua sede ocupa a antiga garagem da Auto Diesel em Bento Ribeiro, zona norte do Rio, e os ônibus fazem a ligação do subúrbio dessa região ao centro do Rio. Controlada pela família Barata, a Guarulhos Participações detém a maior fatia das ações da Vila Real, com 30%.","Operadora",,,,," ",,,
49,"Viacao Saens Pena",,"Saens Pena (atual Nsa das Graças)",,"Ex-operadora",,,,,,,,
50,"Daniel Ferreira Barata",,"Daniel Ferreira Barata",,"Pessoa Física",,,,," ",,,
51,"Claudio Callak Coelho",,"Claudio Callak","Cláudio Callak Coelho é casado com a filha de Aníbal de Sequeira, tradicional empresário de ônibus da cidade. Seu sogro comprou a Real Auto Ônibus no fim dos anos 1960 e acompanhou os negócios da família até falecer, em 2009. Callak ingressou na empresa como estagiário na década de 1990.","Pessoa Física",,,,," ",,,
52,"Orlando Pedroso Lopes Marques ",,"Orlando Pedroso","Nascido em Portugal, Orlando Pedroso é representante do Consórcio Santa Cruz e sócio da Expresso Pégaso, com Franklin Lopes Marques e Maria de Fátima Costa Marques. O trio controla ainda um posto na Taquara e a Viação Medanha.","Pessoa Física",,,,," ",,,
53,"Humberto Fernandes Valente",,"Humberto Fernandes",,"Pessoa Física",,,,," ",,,
54,"Avelino Antunes",,"Avelino Antunes","Líder do Grupo Redentor, um dos mais fortes entre as empresas de ônibus cariocas, Avelino Antunes é irmão e sócio de Getúlio e Antônio Paiva. Ele e sua família atuam principalmente na região de Jacarepaguá, zona oeste do Rio.","Pessoa Física",,,,," ",,,
55,"Jacob Barata Filho",,"Jacob Barata Filho","Filho do “rei do ônibus”, Jacob Barata Filho foi preso em julho de 2017 por suspeita de envolvimento no esquema de propina do setor de transporte durante o governo Cabral. Com ele, foram apreendidos mais de R$ 157 milhões em suas contas pessoais e de suas empresas. Ele é o único que possui participação em todos os quatro consórcios que venceram, separadamente, a licitação dos ônibus em 2010. ","Pessoa Física",,,,," ",,,
56,"Antonio Padua Arantes",,"Antonio Padua Arantes","Parceiro de Jacob Barata, Antônio Pádua atua no Banco Guanabara. Desde 2011, possui autorização para prestar serviços de administrador de carteira na bolsa de valores. Das concessionárias de ônibus, ele consta no quadro societário da Viação Alpha e Estrela. Também é sócio da Grow Participação e Administração, que recentemente teve R$ 97 mil arrestados pela Justiça.","Pessoa Física",,,,," ",,,
57,"Luis Carlos Pires",,"Luis Carlos Pires",,"Pessoa Física",,,,," ",,,
58,"Jose Gomes Da Cunha Goes",,"Jose Gomes da Cunha",,"Pessoa Física",,,,," ",,,
59,"Ernesto Ribeiro Martins",,"Ernesto Ribeiro Martins",,"Pessoa Física",,,,," ",,,
60,"Geraldo Queiroz De Figueredo",,"Geraldo Queiroz de Figueredo",,"Pessoa Física",,,,," ",,,
61,"Jacob Barata",,"Jacob Barata",,"Pessoa Física",,,,," ",,,
62,"Generoso Ferreira Das Neves ",,"GENEROSO FERREIRA DAS NEVES ","Generoso Ferreira é sócio da Braso Lisboa, empresa que começou com seis ônibus, ligando a Candelária, no centro, ao bairro de Triagem, na zona norte. Segundo dados do Portal Flumibuss RJ, atualmente a empresa tem uma frota de 176 veículos. ","Pessoa Física",,,,," ",,,
63,"Generoso Martins Das Neves ",,"GENEROSO MARTINS DAS NEVES ",,"Pessoa Física",,,,," ",,,
