"id","nome","cnpj","label","Resumo","Tipo","Local","Responsável","Atividade Principal","Natureza Jurídica","Capital Social","Abertura","Sócios","Atividades secundárias"
385,"Atlantico Participacoes E Empreendimentos Ltda","10366954000176","Atlantico Participacoes e Empreendimentos ",,"Empresa","R General Camara 101 - 25 De Agosto - 25.070-340
Duque De Caxias - Rj","Sergio Luiz Dos Reis Lavouras","Holdings de instituições não-financeiras","Sociedade Empresária Limitada","50000.00",19/09/08,"Sergio Luiz Dos Reis Lavouras, Jose Carlos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras, Jal Empreendimentos E Participacoes Ltda",
386,"Slrl Administracao De Bens Ltda","16948972000142","Slrl Administracao de Bens ",,"Empresa","Av Automovel Clube 1912 - Jardim Jose Bonifacio - 25.565-172
Sao Joao De Meriti - Rj","Sergio Luiz Dos Reis Lavouras","Compra e venda de imóveis próprios","Sociedade Empresária Limitada","10000.00",03/10/12,"Sergio Luiz Dos Reis Lavouras, Susy Pereira Lavouras, Rebeca Pereira Lavouras, Jose Victor Pereira Lavouras",
387,"Transporte Mageli Ltda","29318037000144","Transporte Mageli ",,"Empresa","Av Automovel Clube 990 - Centro - 25.515-126
Sao Joao De Meriti - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Empresária Limitada"," ",29/04/71,"Denis David Alves, Jal Empreendimentos E Participacoes Ltda, Sergio Luiz Dos Reis Lavouras",
388,"Rio D Ouro Transportes Coletivos Ltda","29430303000126","Rio D Ouro Transportes Coletivos ",,"Empresa","Av Automovel Clube 990 - Centro - 25.515-126
Sao Joao De Meriti - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada"," ",17/12/75,"Claudio Jose Dos Reis Lavouras, Jose Carlos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras",
389,"Viacao Brazinha Ltda - Epp","30807663000183","Viacao Brazinha  - ",,"Empresa","R Doutor Athaide Pimenta De Moraes 211 - Centro - 26.210-190
Nova Iguacu - Rj","Jose Carlos Reis Lavouras","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada","400000.00",15/03/68,"Jose Carlos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras, Marciana Gomes Medeiros",
390,"Expresso Real Rio Ltda","31334691000193","Expresso Real Rio ",,"Empresa","Av Ministro Fernando Costa 1484 - Boa Esperanca - 23.894-886
Seropedica - Rj","Jose Carlos Reis Lavouras","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Empresária Limitada","3500000.00",13/01/87,"Jose Carlos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras",
391,"Viacao Beira Mar Ltda","31911662000147","Viacao Beira Mar ",,"Empresa","Av Automovel Clube 990 - Centro - 25.515-126
Sao Joao De Meriti - Rj","Denis David Alves","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Empresária Limitada","2000000.00",18/05/70,"Denis David Alves, Jal Empreendimentos E Participacoes Ltda, Sergio Luiz Dos Reis Lavouras",
392,"Transportes Planalto Ltda","31928575000100","Transportes Planalto ",,"Empresa","Av Automovel Clube 990 - Centro - 25.515-126
Sao Joao De Meriti - Rj","Jose Carlos Reis Lavouras","Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","Sociedade Empresária Limitada",,29/09/66,"Jose Carlos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras",
393,"Empresa De Transportes Flores Ltda","31934318000173","Empresa de Transportes Flores ",,"Empresa","Av Automovel Clube 990 - Centro - 25.515-126
Sao Joao De Meriti - Rj",,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","Sociedade Empresária Limitada"," ",29/10/71,"Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Claudio Jose Dos Reis Lavouras, Jose Carlos Reis Lavouras",
394,"Turismo Tres Amigos Ltda","33498551000186","Turismo Tres Amigos ",,"Empresa","Est Arthur Antonio Sendas 2433 - Parque Araruama - 25.585-020
Sao Joao De Meriti - Rj","Sergio Luiz Dos Reis Lavouras","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional","Sociedade Empresária Limitada",,14/12/72,"Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Jose Carlos Reis Lavouras, Claudio Jose Dos Reis Lavouras",
395,"New Way Administracao De Bens Proprios Ltda - Me","35871086000102","New Way",,"Empresa","R Otavio Mangabeira Sn - Vilar Dos Teles - 25.555-120
Sao Joao De Meriti - Rj","Jorge Bady Assia Bedran","Gestão e administração da propriedade imobiliária","Sociedade Empresária Limitada",,25/10/89,"Jorge Bady Assia Bedran, Jose Carlos Reis Lavouras, Sergio Luiz Dos Reis Lavouras, Armando Roberto Dos Reis Lavouras, Marcelo Nascif Simao",
396,"Ducabel Administracao De Bens Ltda","16741176000134","Ducabel",,"Empresa","Av Das Americas 505 - Barra Da Tijuca - 22.631-000
Rio De Janeiro - Rj","Claudio Jose Dos Reis Lavouras","Aluguel de imóveis próprios","Sociedade Empresária Limitada","10000.00",21/08/12,"Claudio Jose Dos Reis Lavouras, Isa Braganca Da Custodia Lavouras",
